#10_lat,#10_lon,#26,#27,#28,#29,#30
35.286088,140.395355,-4,0.6,-3.6,9.2,
35.299145,140.385356,-4.8,0,-4.4,8.1,
35.315105,140.377491,-6.6,-2.2,-4.6,7.6,
35.210714,140.374572,0,0,0,,
35.309733,140.229078,-3.4,-4.9,-2.3,5.5,
35.307111,140.237383,-4.4,-6.7,-2.2,5.7,
35.300042,140.240606,-3.6,-7.1,-2.3,5.5,
35.292989,140.243439,-3.2,-3.5,-2.2,7.4,
35.282822,140.247294,-0.3,-0.5,-0.7,10.1,
35.277997,140.243508,-1.7,-1.3,0.4,9.8,
35.273355,140.250435,-57.7,-0.6,0.6,11.2,
35.266544,140.254518,0.8,-1.1,0.9,11.2,
35.259687,140.247027,-0.1,0.7,0.3,9.8,
35.252608,140.244750,-2.5,0,1.5,9.4,
35.244181,140.242267,1,-1.1,1.2,8.8,
35.237864,140.249244,2.5,0.7,0.5,10.1,
35.138219,140.258207,1.8,-1.3,1.2,-0.1,
35.140696,140.278410,1.3,0.1,0.5,-1.2,
35.151476,140.296737,-0.9,2.8,-0.6,-1.7,
35.149427,140.317113,-1.2,3.7,-4.1,-0.9,
35.155555,140.329790,-0.5,1.8,-2.1,-0.8,
35.166878,140.334341,0.6,0.4,-0.9,-1.3,
35.230303,140.255331,3.9,0.4,0.8,9.6,
35.227205,140.260199,3,0.1,0.4,10.7,
35.218219,140.264255,3.2,-1.1,0.1,10.6,
35.210733,140.268233,2.5,-1.1,1.6,9.3,
35.204650,140.272645,2.3,-1.3,1.9,7.7,
35.152886,140.245922,1.2,0.1,2.3,1.6,
35.155467,140.254736,1.3,-0.4,2.8,0.3,
35.160303,140.259714,1.9,0,3.5,0.2,
35.169598,140.266903,0.7,0.7,5,-0.1,
35.179558,140.265517,1.8,0.2,3.1,1.3,
35.184298,140.261891,1.3,0.5,3.9,3.3,
35.192039,140.267236,2.5,-0.4,4.5,3.9,
35.196992,140.270883,2,-0.6,3.5,6,
35.146922,140.244378,0.5,-1.1,1.1,0.5,
35.129255,140.249011,0,,0,,
35.181004,140.347743,-0.5,0.2,-0.5,-1.5,
35.192837,140.362311,0.6,-1.3,0,0.3,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
